Timestamp,Speed,Latitude coordinate,Longitude coordinate,Altitude,Vertical accuracy,Horizontal accuracy,Course,Course variation,Behavior
7.85,65.2,40.51279,-3.40448,612.7,4,5,331.9,0,0
8.83,64.5,40.51292,-3.40458,612.5,4,5,331.9,0,0
9.82,63.6,40.51307,-3.40468,612.9,4,5,330.8,1.055,0
10.8,62.2,40.51321,-3.40477,613.3,4,5,330.8,1.055,0
11.8,60.9,40.51335,-3.40487,613.5,3,5,330.1,0.703,0
12.82,61.2,40.51348,-3.40497,613.8,3,5,329.4,1.406,0
13.81,61.7,40.51362,-3.40508,614,3,5,328.7,1.406,0
14.84,64.3,40.51374,-3.40519,614.3,3,5,327,2.461,0
15.82,66.8,40.51388,-3.40532,614.6,3,5,325.5,3.164,0
16.83,68.9,40.51402,-3.40544,614.6,3,5,325.9,1.055,0
17.81,71.4,40.51416,-3.40558,614.6,3,5,325.5,0.352,0
18.8,73.5,40.51432,-3.40572,614.6,4,5,325.9,0.352,0
19.82,73.5,40.51447,-3.40586,614.3,4,5,325.9,0.352,0
20.8,73.8,40.51461,-3.406,614.3,4,5,326.2,0.352,0
21.83,75.7,40.51477,-3.40613,613.9,4,5,327,1.055,0
22.88,78,40.5151,-3.40642,614.5,4,5,324.5,0.352,0
23.89,78.3,40.51526,-3.40658,615.2,4,5,322,2.461,0
24.89,79.2,40.51541,-3.40674,615.5,4,5,320.6,4.57,0
25.82,79.2,40.51541,-3.40674,615.5,4,5,320.6,3.867,0
26.82,80.1,40.51556,-3.40691,615.8,4,5,322,1.406,0
27.82,80.5,40.51574,-3.40705,616.4,4,5,325.2,4.57,0
28.81,82,40.5159,-3.4072,617.1,4,5,326.2,4.219,0
29.84,84.4,40.51609,-3.40734,617.5,6,5,327,1.758,0
30.83,86.1,40.51626,-3.40749,618.5,6,5,326.2,0.703,0
31.82,92.7,40.51645,-3.40765,619,6,5,327.7,1.406,0
32.81,94.6,40.51665,-3.40783,620,6,5,324.8,2.812,0
33.9,99.2,40.51704,-3.40819,620.8,6,5,325.2,3.164,0
34.85,99.2,40.51704,-3.40819,620.8,6,5,325.2,0.703,0
35.83,98.7,40.51725,-3.40837,621.5,6,5,325.5,1.055,0
36.82,99.8,40.51745,-3.40856,621.7,6,5,324.5,1.055,0
37.85,101.1,40.51764,-3.40876,622.4,6,5,323.4,2.109,0
38.9,104.7,40.51806,-3.40917,623.1,6,5,323.8,2.109,0
39.81,104.7,40.51806,-3.40917,623.1,6,5,323.8,1.406,0
40.8,106.3,40.51827,-3.40938,623.6,6,5,324.1,1.758,0
41.81,107.1,40.51849,-3.40959,623.9,6,5,324.5,0.703,0
42.81,108.7,40.51868,-3.40982,624.6,6,5,324.1,0.352,0
43.8,109.3,40.51891,-3.41002,625,6,5,324.1,0.352,0
44.8,109.9,40.51913,-3.41024,625.3,6,5,324.5,0.352,0
45.8,110.5,40.51934,-3.41045,626.1,6,5,324.8,0.703,0
46.81,114.8,40.51958,-3.41066,626,6,5,325.2,0.703,0
47.8,111.2,40.5198,-3.41087,626.5,6,5,324.5,0.703,0
48.83,110.9,40.52002,-3.41109,627.1,6,5,324.5,0.703,0
49.8,112.3,40.52024,-3.4113,627.3,6,5,325.2,0.703,0
50.85,110.9,40.52046,-3.4115,627.5,6,5,325.9,1.406,0
51.81,111.1,40.52068,-3.4117,627.7,6,5,326.2,1.055,0
52.8,110.4,40.5209,-3.41191,628.2,6,5,326.2,0.352,0
53.8,109.1,40.52113,-3.41211,628.3,6,5,325.2,1.055,0
54.8,107.2,40.52135,-3.4123,628.7,6,5,324.8,1.406,0
55.8,106.9,40.52157,-3.41251,629.4,6,5,325.2,0.352,0
56.9,107.5,40.52202,-3.41291,630.9,6,5,324.8,0.352,0
57.81,107.5,40.52202,-3.41291,630.9,6,5,324.8,0.352,0
58.81,107.5,40.52223,-3.41312,631.5,6,5,324.8,0,0
59.87,104.5,40.52246,-3.41328,632.6,6,5,328.4,3.516,0
60.84,107.5,40.52267,-3.41353,633.5,6,5,322,6.328,0
61.81,107.6,40.52288,-3.41375,634.3,6,5,320.3,8.086,0
62.83,107.6,40.52308,-3.41399,635.7,6,5,318.2,3.867,0
63.82,107.3,40.52327,-3.41423,636.8,6,5,315,5.273,0
64.83,107.7,40.52346,-3.4145,637.8,6,5,312.9,5.273,0
65.86,107.3,40.52364,-3.41476,639.3,6,5,310.1,4.922,0
66.83,108.8,40.5238,-3.41502,639.8,6,5,307.6,5.273,0
